,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,uri,playlists
44,0.992,0.433,0.0948,0.924,0.114,-20.72,0.0467,92.628,spotify:track:3FZuVhgbx2PX2ibCdiyY4M,piano_classical
45,0.993,0.599,0.0204,0.929,0.117,-27.103,0.0937,110.811,spotify:track:1EbYrxzaOPdB6ApIVKL0E4,piano_classical
46,0.995,0.531,0.173,0.923,0.143,-28.331,0.0713,129.452,spotify:track:3Q9h3umdcS8TlQlUote0tV,piano_classical
47,0.99,0.355,0.0779,0.846,0.142,-21.005,0.0499,77.17,spotify:track:5Cgwg3kUgwxc0UHIS7eCqH,piano_classical
48,0.986,0.296,0.0782,0.923,0.133,-19.618,0.0473,69.47,spotify:track:4jYnjtayiQPNcx2xCO1ioN,piano_classical
49,0.97,0.658,0.0112,0.929,0.0681,-25.583,0.434,135.997,spotify:track:35dYTbQzSqpNKqEDWkH3Sn,piano_classical
50,0.99,0.617,0.000752,0.884,0.0916,-23.292,0.418,77.131,spotify:track:3HtmWHWX1UEahlyasWzZXz,piano_classical
51,0.977,0.577,0.000806,0.898,0.0767,-22.742,0.925,173.616,spotify:track:3Qy39n9axvUI6HkcD8Tlwf,piano_classical
52,0.985,0.661,0.000818,0.898,0.0872,-22.009,0.94,131.7,spotify:track:6bdtMii5vbcG9eeS2UTqpi,piano_classical
53,0.977,0.655,0.000605,0.959,0.0782,-22.156,0.901,136.353,spotify:track:5kklMzjKTFPXU038ftNLWI,piano_classical
54,0.995,0.64,0.0126,0.926,0.0839,-30.797,0.332,88.254,spotify:track:5wlb7QLHplDPgspteGuJwe,piano_classical
55,0.97,0.681,0.0011,0.687,0.0982,-36.581,0.302,129.002,spotify:track:2s85EkEXnxlmhmdMWgTiyZ,piano_classical
56,0.992,0.677,0.0129,0.853,0.0747,-24.761,0.487,131.699,spotify:track:3d9GvcUIl6LOvbuLo9qgx0,piano_classical
57,0.994,0.674,0.0106,0.917,0.0929,-27.021,0.114,136.104,spotify:track:12nAoQxN7QgirKJQX5Sa4v,piano_classical
58,0.993,0.669,0.0141,0.91,0.0755,-29.254,0.427,132.355,spotify:track:4X11kmhMGYqXzFv7BDkNdh,piano_classical
59,0.995,0.614,0.00123,0.941,0.0874,-30.915,0.116,134.003,spotify:track:577pbZtiuhGix2o0cGNejJ,piano_classical
60,0.994,0.611,0.000583,0.965,0.0725,-29.239,0.453,79.486,spotify:track:4ALcqtEdHDR9fKUnvoGmEm,piano_classical
61,0.996,0.332,0.000361,0.973,0.0703,-43.93,0.0691,167.661,spotify:track:4veCLtrt4f4b1OnmqJUq63,piano_classical
62,0.996,0.629,0.00223,0.935,0.0731,-28.98,0.556,76.867,spotify:track:4VdcVuOdRFXAwWvux5XuIY,piano_classical
63,0.994,0.54,0.00111,0.962,0.0773,-30.122,0.27,205.603,spotify:track:5uSdWTCAz0DU5HoNDyhzWe,piano_classical
64,0.995,0.674,0.00122,0.958,0.0751,-30.495,0.0946,77.889,spotify:track:2Ern0Jrg3r5fDdvQMCthsq,piano_classical
65,0.996,0.643,0.00179,0.973,0.117,-35.172,0.185,128.734,spotify:track:7ekLaZUn9NFx8yYNVisDQ8,piano_classical
66,0.995,0.732,0.00181,0.963,0.109,-27.258,0.413,77.676,spotify:track:5UdEv4nCq0fB8g2SJhzHa8,piano_classical
67,0.994,0.643,0.000271,0.958,0.0882,-26.889,0.648,128.59,spotify:track:0j3ZbuAe5TE0NKNyqoW6S7,piano_classical
68,0.993,0.672,0.00796,0.963,0.0991,-33.064,0.409,133.019,spotify:track:3lqSbWnZFrK9b0VmgokzIH,piano_classical
69,0.996,0.0,0.0851,0.94,0.111,-26.836,0.0,0.0,spotify:track:6g4idRyOT7qtIH19m6VEpv,piano_classical
70,0.996,0.44,0.00105,0.935,0.0983,-40.723,0.19,63.077,spotify:track:1mBEVxtILjTiwEZVW42IlN,piano_classical
71,0.995,0.359,0.0555,0.912,0.161,-23.828,0.0437,93.214,spotify:track:5TDylcTZ1MKM1hBpyzVlRC,piano_classical
72,0.994,0.451,0.0267,0.866,0.111,-25.986,0.0563,64.591,spotify:track:6qZ6cH9Tvb20otA2xEhZoO,piano_classical
73,0.989,0.394,0.0986,0.862,0.113,-21.641,0.0359,97.793,spotify:track:1LPFs3EBP6uQXWhI87qLtT,piano_classical
74,0.994,0.469,0.0991,0.887,0.174,-23.127,0.0336,91.475,spotify:track:6eRRFinQ3CqVCiQBvd8oXR,piano_classical
75,0.993,0.535,0.194,0.842,0.0948,-19.165,0.0443,93.843,spotify:track:1Xg5y2etbsZAcxbUB8SlF4,piano_classical
76,0.993,0.567,0.132,0.945,0.172,-24.914,0.0478,95.671,spotify:track:5agpGCPDpKfZpMl8WMDJjH,piano_classical
77,0.993,0.549,0.0977,0.93,0.109,-22.011,0.293,209.721,spotify:track:2eaKkQf0UzTg9MXfEK1s1U,piano_classical
78,0.993,0.45,0.0668,0.907,0.0779,-19.671,0.0415,95.382,spotify:track:3Kg89HnFTC62HZSuoxna0g,piano_classical
79,0.993,0.592,0.106,0.88,0.119,-22.114,0.125,116.54,spotify:track:3p8yS8nEoJ6CgeufQ4cCGG,piano_classical
80,0.994,0.569,0.00821,0.921,0.0978,-26.357,0.12,109.429,spotify:track:6yTG8A6OlpkBk7mb97nMS7,piano_classical
81,0.994,0.423,0.111,0.831,0.109,-26.246,0.117,171.374,spotify:track:63mrR5Lcw3jRVNAIuNZH66,piano_classical
82,0.995,0.525,0.0247,0.934,0.12,-27.999,0.0934,88.877,spotify:track:47idXiSpOvJXz8z9MwwQaj,piano_classical
83,0.992,0.422,0.00894,0.906,0.0986,-28.121,0.0525,67.795,spotify:track:2dtvZ8w7G5vvQSOetZaemJ,piano_classical
84,0.995,0.52,0.0061,0.922,0.0856,-29.041,0.109,98.825,spotify:track:4fPBZttpUZspuH8ixff4dk,piano_classical
85,0.995,0.448,0.0125,0.92,0.0887,-34.663,0.0708,47.405,spotify:track:1PcdT1xzJnDi80y2dNsyaC,piano_classical
86,0.992,0.302,0.013,0.876,0.0853,-34.374,0.0441,109.313,spotify:track:0G1C0eGVYtkzi9mUJEOJaS,piano_classical
87,0.989,0.301,0.074,0.834,0.127,-24.938,0.0393,80.443,spotify:track:3tk5tIo3rMLDO9Oz04jiBN,piano_classical
88,0.995,0.515,0.00806,0.839,0.0714,-25.671,0.0414,69.22,spotify:track:7EJVhxVHJ11vQVcN11gqB9,piano_classical
89,0.992,0.356,0.0116,0.919,0.118,-27.465,0.0443,73.406,spotify:track:5DUrUVFGKr0yN7OXWws7Fp,piano_classical
90,0.988,0.336,0.0196,0.883,0.0914,-26.322,0.0378,140.49,spotify:track:6TZ14pVJkyGt3EdUn325Et,piano_classical
91,0.995,0.568,0.0333,0.731,0.108,-22.174,0.0936,77.94,spotify:track:3CUhlGlk7sfpqtIsGRFfUz,piano_classical
92,0.995,0.708,0.198,0.765,0.138,-20.583,0.0759,130.519,spotify:track:5TbYwMqTdDM26bgLluNTEN,piano_classical
93,0.989,0.688,0.0544,0.935,0.117,-20.174,0.364,117.85,spotify:track:0cIJ2ZUWS2OvhWBnKCYQxx,piano_classical
94,0.995,0.567,0.0152,0.97,0.118,-32.99,0.191,68.388,spotify:track:3jeRLaCJTWPTl7f9Yf7Bs6,piano_classical
95,0.996,0.665,0.00396,0.973,0.0902,-37.3,0.22,77.357,spotify:track:5j8I4aRYzOCQPVfZv8xPNq,piano_classical
96,0.995,0.66,0.00277,0.956,0.103,-31.378,0.187,76.636,spotify:track:1VaVaatTNGwPcyAVKiwYFW,piano_classical
97,0.993,0.627,0.002,0.965,0.116,-25.58,0.269,68.915,spotify:track:3B78ULbqr0X5bn4dXG3tPB,piano_classical
98,0.994,0.504,0.000902,0.941,0.0596,-35.625,0.448,87.491,spotify:track:6oB7ul6sJKiiZx2Ue3cOu8,piano_classical
99,0.931,0.613,0.0714,0.86,0.0892,-19.847,0.479,82.415,spotify:track:1M6bcIqvuEfKryq42ejurk,piano_classical
100,0.988,0.651,0.0253,0.917,0.146,-22.535,0.24,123.327,spotify:track:4GSnV2EnwXKRUBgpJfdWoX,piano_classical
101,0.993,0.702,0.0165,0.962,0.0928,-26.307,0.565,75.996,spotify:track:4rqaBdwcnn8mihIzai8KEw,piano_classical
102,0.983,0.627,0.00679,0.895,0.0837,-25.746,0.108,129.218,spotify:track:0b5lMrMbDBK7WvIT1SeXJx,piano_classical
103,0.995,0.677,0.00708,0.967,0.111,-24.651,0.559,75.134,spotify:track:6Kq4OIpWvTzTcFu4PlSx8E,piano_classical
104,0.992,0.671,0.00215,0.923,0.0887,-22.511,0.453,130.897,spotify:track:4cNo5sYMpq8Ge7AlTl8FcU,piano_classical
105,0.994,0.412,0.0726,0.852,0.158,-26.196,0.0528,138.086,spotify:track:5LlR4So36YaiH1qrbX3VGv,piano_classical
106,0.996,0.0,0.0147,0.955,0.126,-30.666,0.0,0.0,spotify:track:6rAenh7krNfCbPtzBmXFsm,piano_classical
107,0.988,0.616,0.0397,0.941,0.109,-33.506,0.123,94.999,spotify:track:5F8G8jzcoTmJVIKNdG4C44,piano_classical
108,0.995,0.476,0.0492,0.911,0.14,-29.876,0.0697,111.231,spotify:track:5zdHuXwlHmnBoz6FH9uSjf,piano_classical
109,0.996,0.393,0.0633,0.891,0.152,-25.439,0.0664,68.664,spotify:track:1vwBnOU7UbKi0ZgP85aJlx,piano_classical
110,0.991,0.437,0.0302,0.916,0.147,-27.371,0.345,181.255,spotify:track:7hyzCCEeVvkv8NKxwnLcHz,piano_classical
111,0.996,0.443,0.0106,0.862,0.0946,-37.491,0.0782,62.923,spotify:track:6Ze5ElMqqJszwrKdUvthKU,piano_classical
112,0.995,0.335,0.0219,0.868,0.142,-38.634,0.0528,72.744,spotify:track:11JKHLE63eHgr1sRNNciL0,piano_classical
113,0.993,0.552,0.027,0.948,0.0901,-26.986,0.0616,73.084,spotify:track:1fBWx0l7X9Nv57oJ8j70T9,piano_classical
114,0.996,0.54,0.00399,0.951,0.0755,-41.745,0.077,98.523,spotify:track:3NxWN06Zgf1N8jqYQYlEte,piano_classical
115,0.995,0.335,0.0438,0.857,0.106,-32.809,0.0507,71.512,spotify:track:4SNlFOi1C5RLeBvMwaq1Gg,piano_classical
116,0.994,0.266,0.0128,0.901,0.0875,-38.503,0.0526,118.083,spotify:track:17UxclFpZDx9kYGGhzmKK1,piano_classical
117,0.996,0.586,0.0146,0.951,0.064,-42.917,0.0584,96.94,spotify:track:3DMa9TLUp0nu4FSmUKe4rz,piano_classical
118,0.995,0.395,0.0484,0.905,0.122,-27.139,0.0475,140.869,spotify:track:1Tfzt2MqfeY8JRrIDgXxeq,piano_classical
119,0.996,0.346,0.0301,0.847,0.0704,-39.711,0.0521,74.781,spotify:track:0pZpIoei3wKS5z9U2HipDT,piano_classical
120,0.995,0.629,0.0277,0.958,0.0841,-30.158,0.0631,104.48,spotify:track:3SxYLHti0sJ0gjg9bzi2Up,piano_classical
121,0.993,0.4,0.185,0.912,0.126,-24.571,0.0542,73.376,spotify:track:6wgpfchSNnRpcMB62QL0wr,piano_classical
122,0.994,0.279,0.016,0.906,0.0757,-29.864,0.0621,178.231,spotify:track:5KGMODiQ2FiKDRi2n6Yp10,piano_classical
123,0.993,0.44,0.0107,0.756,0.0916,-30.024,0.0431,67.33,spotify:track:4z8sDbLHuyXyNNXb6nz8lG,piano_classical
124,0.988,0.311,0.0187,0.885,0.153,-28.446,0.041,81.63,spotify:track:4mjtw98tqW3qKXgw1xfR4V,piano_classical
